Tank,MLI,Pitch,Roll,Reading,Qty
Left,2,-0.5,1.0,280.0,4870.0
Left,2,-0.5,1.0,300.0,5000.0
Left,2,-0.5,1.0,320.0,5130.0
Left,2,-0.5,1.0,340.0,5250.0
Left,2,-0.5,1.0,348.0,7110.0
Left,2,-0.5,1.5,0.0,2720.0
Left,2,-0.5,1.5,20.0,2870.0
Left,2,-0.5,1.5,40.0,3030.0
Left,2,-0.5,1.5,60.0,3190.0
Left,2,-0.5,1.5,80.0,3360.0
Left,2,-0.5,1.5,100.0,3520.0
Left,2,-0.5,1.5,120.0,3690.0
Left,2,-0.5,1.5,140.0,3860.0
Left,2,-0.5,1.5,160.0,4020.0
Left,2,-0.5,1.5,180.0,4180.0
Left,2,-0.5,1.5,200.0,4330.0
Left,2,-0.5,1.5,220.0,4470.0
Left,2,-0.5,1.5,240.0,4610.0
Left,2,-0.5,1.5,260.0,4740.0
Left,2,-0.5,1.5,280.0,4860.0
Left,2,-0.5,1.5,300.0,4980.0
Left,2,-0.5,1.5,320.0,5100.0
Left,2,-0.5,1.5,340.0,5210.0
Left,2,-0.5,1.5,348.0,7110.0
Left,2,0,-1.5,0.0,2050.0
Left,2,0,-1.5,20.0,2210.0
Left,2,0,-1.5,40.0,2380.0
Left,2,0,-1.5,60.0,2550.0
Left,2,0,-1.5,80.0,2730.0
Left,2,0,-1.5,100.0,2910.0
Left,2,0,-1.5,120.0,3110.0
Left,2,0,-1.5,140.0,3300.0
Left,2,0,-1.5,160.0,3510.0
Left,2,0,-1.5,180.0,3720.0
Left,2,0,-1.5,200.0,3940.0
Left,2,0,-1.5,220.0,4170.0
Left,2,0,-1.5,240.0,4400.0
Left,2,0,-1.5,260.0,4630.0
Left,2,0,-1.5,280.0,4870.0
Left,2,0,-1.5,300.0,5110.0
Left,2,0,-1.5,320.0,5350.0
Left,2,0,-1.5,340.0,5580.0
Left,2,0,-1.5,348.0,7110.0
Left,2,0,-1.0,0.0,2160.0
Left,2,0,-1.0,20.0,2320.0
Left,2,0,-1.0,40.0,2480.0
Left,2,0,-1.0,60.0,2650.0
Left,2,0,-1.0,80.0,2830.0
Left,2,0,-1.0,100.0,3010.0
Left,2,0,-1.0,120.0,3200.0
Left,2,0,-1.0,140.0,3390.0
Left,2,0,-1.0,160.0,3590.0
Left,2,0,-1.0,180.0,3800.0
Left,2,0,-1.0,200.0,4010.0
Left,2,0,-1.0,220.0,4170.0
Left,2,0,-1.0,240.0,4440.0
Left,2,0,-1.0,260.0,4660.0
Left,2,0,-1.0,280.0,4880.0
Left,2,0,-1.0,300.0,5100.0
Left,2,0,-1.0,320.0,5310.0
Left,2,0,-1.0,340.0,5500.0
Left,2,0,-1.0,348.0,7110.0
Left,2,0,-0.5,0.0,2270.0
Left,2,0,-0.5,20.0,2430.0
Left,2,0,-0.5,40.0,2590.0
Left,2,0,-0.5,60.0,2760.0
Left,2,0,-0.5,80.0,2930.0
Left,2,0,-0.5,100.0,3110.0
Left,2,0,-0.5,120.0,3300.0
Left,2,0,-0.5,140.0,3480.0
Left,2,0,-0.5,160.0,3680.0
Left,2,0,-0.5,180.0,3880.0
Left,2,0,-0.5,200.0,4080.0
Left,2,0,-0.5,220.0,4290.0
Left,2,0,-0.5,240.0,4490.0
Left,2,0,-0.5,260.0,4700.0
Left,2,0,-0.5,280.0,4900.0
Left,2,0,-0.5,300.0,5090.0
Left,2,0,-0.5,320.0,5270.0
Left,2,0,-0.5,340.0,5440.0
Left,2,0,-0.5,348.0,7110.0
Left,2,0,0.0,0.0,2380.0
Left,2,0,0.0,20.0,2530.0
Left,2,0,0.0,40.0,2690.0
Left,2,0,0.0,60.0,2860.0
Left,2,0,0.0,80.0,3030.0
Left,2,0,0.0,100.0,3210.0
Left,2,0,0.0,120.0,3390.0
Left,2,0,0.0,140.0,3580.0
Left,2,0,0.0,160.0,3770.0
Left,2,0,0.0,180.0,3960.0
Left,2,0,0.0,200.0,4150.0
Left,2,0,0.0,220.0,4350.0
Left,2,0,0.0,240.0,4540.0
Left,2,0,0.0,260.0,4730.0
Left,2,0,0.0,280.0,4900.0
Left,2,0,0.0,300.0,5070.0
Left,2,0,0.0,320.0,5230.0
Left,2,0,0.0,340.0,5370.0
Left,2,0,0.0,348.0,7110.0
Left,2,0,0.5,0.0,2480.0
Left,2,0,0.5,20.0,2640.0
Left,2,0,0.5,40.0,2800.0
Left,2,0,0.5,60.0,2970.0
Left,2,0,0.5,80.0,3130.0
Left,2,0,0.5,100.0,3310.0
Left,2,0,0.5,120.0,3490.0
Left,2,0,0.5,140.0,3670.0
Left,2,0,0.5,160.0,3850.0
Left,2,0,0.5,180.0,4030.0
Left,2,0,0.5,200.0,4220.0
Left,2,0,0.5,220.0,4400.0
Left,2,0,0.5,240.0,4570.0
Left,2,0,0.5,260.0,4740.0
Left,2,0,0.5,280.0,4900.0
Left,2,0,0.5,300.0,5050.0
Left,2,0,0.5,320.0,5190.0
Left,2,0,0.5,340.0,5320.0
Left,2,0,0.5,348.0,7110.0
Left,2,0,1.0,0.0,2590.0
Left,2,0,1.0,20.0,2750.0
Left,2,0,1.0,40.0,2910.0
Left,2,0,1.0,60.0,3070.0
Left,2,0,1.0,80.0,3240.0
Left,2,0,1.0,100.0,3410.0
Left,2,0,1.0,120.0,3580.0
Left,2,0,1.0,140.0,3750.0
Left,2,0,1.0,160.0,3930.0
Left,2,0,1.0,180.0,4110.0
Left,2,0,1.0,200.0,4280.0
Left,2,0,1.0,220.0,4440.0
Left,2,0,1.0,240.0,4600.0
Left,2,0,1.0,260.0,4750.0
Left,2,0,1.0,280.0,4890.0
Left,2,0,1.0,300.0,5020.0
Left,2,0,1.0,320.0,5150.0
Left,2,0,1.0,340.0,5270.0
Left,2,0,1.0,348.0,7110.0
Left,2,0,1.5,0.0,2700.0
Left,2,0,1.5,20.0,2850.0
Left,2,0,1.5,40.0,3010.0
Left,2,0,1.5,60.0,3170.0
Left,2,0,1.5,80.0,3330.0
Left,2,0,1.5,100.0,3500.0
Left,2,0,1.5,120.0,3670.0
Left,2,0,1.5,140.0,3840.0
Left,2,0,1.5,160.0,4000.0
Left,2,0,1.5,180.0,4170.0
Left,2,0,1.5,200.0,4320.0
Left,2,0,1.5,220.0,4470.0
Left,2,0,1.5,240.0,4610.0
Left,2,0,1.5,260.0,4750.0
Left,2,0,1.5,280.0,4880.0
Left,2,0,1.5,300.0,5000.0
Left,2,0,1.5,320.0,5120.0
Left,2,0,1.5,340.0,5230.0
Left,2,0,1.5,348.0,7110.0
Left,2,0.5,-1.5,0.0,2030.0
Left,2,0.5,-1.5,20.0,2190.0
Left,2,0.5,-1.5,40.0,2360.0
Left,2,0.5,-1.5,60.0,2530.0
Left,2,0.5,-1.5,80.0,2710.0
Left,2,0.5,-1.5,100.0,2900.0
Left,2,0.5,-1.5,120.0,3090.0
Left,2,0.5,-1.5,140.0,3290.0
Left,2,0.5,-1.5,160.0,3500.0
Left,2,0.5,-1.5,180.0,3720.0
Left,2,0.5,-1.5,200.0,3940.0
Left,2,0.5,-1.5,220.0,4170.0
Left,2,0.5,-1.5,240.0,4400.0
Left,2,0.5,-1.5,260.0,4650.0
Left,2,0.5,-1.5,280.0,4890.0
Left,2,0.5,-1.5,300.0,5140.0
Left,2,0.5,-1.5,320.0,5390.0
Left,2,0.5,-1.5,340.0,5620.0
Left,2,0.5,-1.5,348.0,7110.0
Left,2,0.5,-1.0,0.0,2140.0
Left,2,0.5,-1.0,20.0,2300.0
Left,2,0.5,-1.0,40.0,2460.0
Left,2,0.5,-1.0,60.0,2630.0
Left,2,0.5,-1.0,80.0,2810.0
Left,2,0.5,-1.0,100.0,3000.0
Left,2,0.5,-1.0,120.0,3190.0
Left,2,0.5,-1.0,140.0,3380.0
Left,2,0.5,-1.0,160.0,3580.0
Left,2,0.5,-1.0,180.0,3790.0
Left,2,0.5,-1.0,200.0,4010.0
Left,2,0.5,-1.0,220.0,4220.0
Left,2,0.5,-1.0,240.0,4450.0
Left,2,0.5,-1.0,260.0,4670.0
Left,2,0.5,-1.0,280.0,4900.0
Left,2,0.5,-1.0,300.0,5120.0
Left,2,0.5,-1.0,320.0,5340.0
Left,2,0.5,-1.0,340.0,5550.0
Left,2,0.5,-1.0,348.0,7110.0
Left,2,0.5,-0.5,0.0,2250.0
Left,2,0.5,-0.5,20.0,2400.0
Left,2,0.5,-0.5,40.0,2570.0
Left,2,0.5,-0.5,60.0,2740.0
Left,2,0.5,-0.5,80.0,2910.0
Left,2,0.5,-0.5,100.0,3090.0
Left,2,0.5,-0.5,120.0,3280.0
Left,2,0.5,-0.5,140.0,3470.0
Left,2,0.5,-0.5,160.0,3670.0
Left,2,0.5,-0.5,180.0,3870.0
Left,2,0.5,-0.5,200.0,4070.0
Left,2,0.5,-0.5,220.0,4280.0
Left,2,0.5,-0.5,240.0,4490.0
Left,2,0.5,-0.5,260.0,4700.0
Left,2,0.5,-0.5,280.0,4900.0
Left,2,0.5,-0.5,300.0,5110.0
Left,2,0.5,-0.5,320.0,5300.0
